Tool,#FAIL,Limit,UL/LL,Code,n,TimeStamp,#FAIL-UL,#FAIL-LL,
DotAverageXOffset,0,10,-35/35,OK,50,2020-01-15 15:13:49,0,0
DotAverageYOffset,0,10,-35/35,OK,50,2020-01-15 15:13:49,0,0
DotAverageTheraOffset,0,10,-15/15,OK,50,2020-01-15 15:13:49,0,0
NegativeCD,12,10,25/35,#ff0010,50,2020-01-15 15:13:49,1,11
PositiveCD,11,10,25/35,#ff0010,50,2020-01-15 15:13:49,2,9
N_PCTMissing,0,10,0/35,OK,50,2020-01-15 15:13:49,0,0
P_PCTMissing,0,10,0/35,OK,50,2020-01-15 15:13:49,0,0
NDotDiameterStdev,41.50,50,0/40,#ff0010,50,2020-01-15 15:13:49,0,0
PDotDiameterStdev,53.40,50,0/40,#ff0010,50,2020-01-15 15:13:49,0,0
LeftXDeviation,0,10,-60/0,OK,50,2020-01-15 15:13:49,0,0
RightXDeviation,1,10,20/90,OK,50,2020-01-15 15:13:49,1,0
NNLineDistanceAve,1,10,971/974,OK,50,2020-01-15 15:13:49,1,0
PPLineDistanceAve,1,10,971/974,OK,50,2020-01-15 15:13:49,1,0
NNLineDistanceMax,1,10,975/990,OK,50,2020-01-15 15:13:49,1,0
PPLineDistanceMax,1,10,975/990,OK,50,2020-01-15 15:13:49,1,0
NNLineDistanceMin,2,10,960/970,OK,50,2020-01-15 15:13:49,2,0
PPLineDistanceMin,1,10,960/970,OK,50,2020-01-15 15:13:49,1,0
NInlineDotDistanceAve,1,10,110/120,OK,50,2020-01-15 15:13:49,1,0
PInlineDotDistanceAve,2,10,110/120,OK,50,2020-01-15 15:13:49,2,0
NtoPLineDistanceAve,1,10,485/488,OK,50,2020-01-15 15:13:49,1,0
NtoPLineDistanceMax,7,10,495/505,OK,50,2020-01-15 15:13:49,7,0
NtoPLineDistanceMin,1,10,473/483,OK,50,2020-01-15 15:13:49,1,0
INNOLAS4022_LCM_L20,LASTRUN,2020-01-15 15:13:49,50,HEADER,,,
